Instance,v1_full,v1_noswap,og_full,og_noswap
p01,21.76,20.49,36.49,30.12
p02,26.90,26.44,41.10,28.26
p03,23.60,16.46,59.65,25.84
p04,6.18,13.01,12.88,17.55
p05,10.08,14.37,24.43,24.49
p06,14.86,13.77,26.93,24.40
p07,7.37,21.15,11.81,24.61
p08,10.26,1.85,14.06,11.80
p09,12.48,23.34,29.11,26.51
p10,16.08,18.59,26.80,25.50
p11,15.48,11.00,22.09,10.54
p12,17.71,20.79,21.98,14.79
p13,11.61,8.46,5.85,13.54
p14,15.62,12.37,8.82,19.97
p15,15.57,16.21,15.39,12.31
p16,9.40,12.68,10.09,12.54
p17,15.59,12.22,11.67,8.36
p18,2.30,6.95,3.59,9.23
p19,1.33,3.17,0.60,2.07
p20,6.16,7.39,5.90,4.10
p21,5.17,1.00,-1.34,3.23
p22,-1.69,2.58,-0.52,-2.37
p23,-5.12,-4.34,-4.97,-3.98